Date,Year,Month,Recession,Consumer_Confidence,Seasonality_Weight,Price,Advertising_Expenditure,Competition,GDP,Growth_Rate,unemployment_rate,Automobile_Sales,Vehicle_Type,City
1980-09-30,1980,Sep,1,87.68,0.77,54452,797,3,33.31,-0.67,5.2,660,ExecutiveCar,California
1980-09-30,1980,Sep,1,87.68,0.85,39111,1479,3,33.31,-0.67,5.2,1103,MediumFamilyCar,California
1980-09-30,1980,Sep,1,87.68,0.78,74426,797,3,33.31,-0.67,5.2,653,Sports,California
1980-10-31,1980,Oct,1,101.45,0.6536983670220029,55881,3207,5,42.52,0.22,4.4,220,ExecutiveCar,New York
1980-10-31,1980,Oct,1,101.45,0.6385973438670642,75578,3207,5,42.52,0.22,4.4,230,Sports,New York
1980-10-31,1980,Oct,1,101.45,0.6861802072374401,35342,5957,5,42.52,0.22,4.4,595,MediumFamilyCar,New York
1980-10-31,1980,Oct,1,101.45,0.6184643306258669,16980,5957,5,42.52,0.22,4.4,607,SuperMiniCar,New York
1980-10-31,1980,Oct,1,101.45,0.6666362290979473,23726,5957,5,42.52,0.22,4.4,580,SmallFamilyCar,New York
1980-11-30,1980,Nov,1,102.36,0.8825671927151669,78322,3457,5,43.3,0.02,2.6,280,Sports,California
1980-11-30,1980,Nov,1,102.36,0.8984016636201607,56665,3457,5,43.3,0.02,2.6,289,ExecutiveCar,California
1980-11-30,1980,Nov,1,102.36,0.8654310146422429,23642,6421,5,43.3,0.02,2.6,776,SmallFamilyCar,California
1980-12-31,1980,Dec,1,102.33,1.38,23993,5060,6,23.54,-0.84,3.3,1136,SmallFamilyCar,New York
1980-12-31,1980,Dec,1,102.33,1.13,52849,2724,6,23.54,-0.84,3.3,673,ExecutiveCar,New York
1980-12-31,1980,Dec,1,102.33,1.27,16855,5060,6,23.54,-0.84,3.3,1143,SuperMiniCar,New York
1980-12-31,1980,Dec,1,102.33,1.25,30005,5060,6,23.54,-0.84,3.3,1120,MediumFamilyCar,New York
1981-01-31,1981,Jan,1,95.2,0.46,18056,3934,8,32.25,0.27,5.9,149,SuperMiniCar,Illinois
1981-01-31,1981,Jan,1,95.2,0.44,57390,2118,8,32.25,0.27,5.9,48,ExecutiveCar,Illinois
1981-01-31,1981,Jan,1,95.2,0.44,71685,2118,8,32.25,0.27,5.9,48,Sports,Illinois
1981-02-28,1981,Feb,1,122.98,0.46,70769,2314,9,30.89,-0.04,5.8,105,Sports,California
1981-02-28,1981,Feb,1,122.98,0.49,56905,2314,9,30.89,-0.04,5.8,102,ExecutiveCar,California
1981-02-28,1981,Feb,1,122.98,0.43,15792,4298,9,30.89,-0.04,5.8,284,SuperMiniCar,California
1981-03-31,1981,Mar,1,87.32,0.87,37489,6167,4,15.78,-0.96,4.4,857,MediumFamilyCar,Georgia
1981-03-31,1981,Mar,1,87.32,0.92,52489,3321,4,15.78,-0.96,4.4,432,ExecutiveCar,Georgia
1981-03-31,1981,Mar,1,87.32,0.9,76949,3321,4,15.78,-0.96,4.4,412,Sports,Georgia
1981-03-31,1981,Mar,1,87.32,0.94,20488,6167,4,15.78,-0.96,4.4,810,SmallFamilyCar,Georgia
1981-04-30,1981,Apr,1,86.71,1.0,72433,1331,6,15.68,-0.01,2.8,227,Sports,California
1981-04-30,1981,Apr,1,86.71,1.0,15791,2471,6,15.68,-0.01,2.8,679,SuperMiniCar,California
1981-04-30,1981,Apr,1,86.71,1.0,25657,2471,6,15.68,-0.01,2.8,637,SmallFamilyCar,California
1981-04-30,1981,Apr,1,86.71,1.0,59823,1331,6,15.68,-0.01,2.8,236,ExecutiveCar,California
1981-05-31,1981,May,1,116.55,0.2,59207,1182,4,55.25,0.72,4.1,261,ExecutiveCar,California
1981-05-31,1981,May,1,116.55,0.2,16809,2196,4,55.25,0.72,4.1,756,SuperMiniCar,California
1981-05-31,1981,May,1,116.55,0.2,20046,2196,4,55.25,0.72,4.1,742,SmallFamilyCar,California
1981-05-31,1981,May,1,116.55,0.2,75311,1182,4,55.25,0.72,4.1,276,Sports,California
1981-06-30,1981,Jun,1,92.96,0.89,17255,3951,9,27.88,-0.98,4.3,851,SuperMiniCar,California
1981-06-30,1981,Jun,1,92.96,0.9,38659,3951,9,27.88,-0.98,4.3,851,MediumFamilyCar,California
1981-06-30,1981,Jun,1,92.96,0.82,23359,3951,9,27.88,-0.98,4.3,852,SmallFamilyCar,California
1981-07-31,1981,Jul,1,90.55,0.5,18610,1312,8,39.89,0.3,5.6,618,SuperMiniCar,New York
1981-07-31,1981,Jul,1,90.55,0.5,75051,706,8,39.89,0.3,5.6,228,Sports,New York
1981-07-31,1981,Jul,1,90.55,0.5,38195,1312,8,39.89,0.3,5.6,643,MediumFamilyCar,New York
1981-08-31,1981,Aug,1,123.03,0.25,16607,1638,5,29.14,-0.37,3.7,801,SuperMiniCar,New York
1981-08-31,1981,Aug,1,123.03,0.25,24873,1638,5,29.14,-0.37,3.7,754,SmallFamilyCar,New York
1981-08-31,1981,Aug,1,123.03,0.25,59540,882,5,29.14,-0.37,3.7,287,ExecutiveCar,New York
1981-09-30,1981,Sep,1,109.86,0.88,54611,2059,8,60.59,0.52,3.1,387,ExecutiveCar,Illinois
1981-09-30,1981,Sep,1,109.86,0.88,35966,3825,8,60.59,0.52,3.1,760,MediumFamilyCar,Illinois
1981-09-30,1981,Sep,1,109.86,0.95,76420,2059,8,60.59,0.52,3.1,398,Sports,Illinois
1981-09-30,1981,Sep,1,109.86,0.89,25135,3825,8,60.59,0.52,3.1,778,SmallFamilyCar,Illinois
1981-10-31,1981,Oct,1,94.06,0.6838463095504619,71184,1871,5,27.21,-1.23,4.7,219,Sports,Illinois
1981-10-31,1981,Oct,1,94.06,0.6818680141967349,38837,3475,5,27.21,-1.23,4.7,634,MediumFamilyCar,Illinois
1981-10-31,1981,Oct,1,94.06,0.6545011396794214,52839,1871,5,27.21,-1.23,4.7,231,ExecutiveCar,Illinois
1981-10-31,1981,Oct,1,94.06,0.6817048807989969,24806,3475,5,27.21,-1.23,4.7,663,SmallFamilyCar,Illinois
1981-11-30,1981,Nov,1,102.18,0.8575672369954025,20400,4185,9,35.55,0.23,3.3,565,SmallFamilyCar,Georgia
1981-11-30,1981,Nov,1,102.18,0.8753665242890758,58527,2253,9,35.55,0.23,3.3,196,ExecutiveCar,Georgia
1981-11-30,1981,Nov,1,102.18,0.8115778106612727,15984,4185,9,35.55,0.23,3.3,545,SuperMiniCar,Georgia
1981-12-31,1981,Dec,1,119.46,1.41,74555,2762,8,57.26,0.38,2.6,460,Sports,California
1981-12-31,1981,Dec,1,119.46,1.05,55878,2762,8,57.26,0.38,2.6,451,ExecutiveCar,California
1981-12-31,1981,Dec,1,119.46,1.21,30117,5128,8,57.26,0.38,2.6,952,MediumFamilyCar,California
1981-12-31,1981,Dec,1,119.46,1.41,18676,5128,8,57.26,0.38,2.6,955,SuperMiniCar,California
1981-12-31,1981,Dec,1,119.46,1.39,23990,5128,8,57.26,0.38,2.6,928,SmallFamilyCar,California
1982-01-31,1982,Jan,1,106.92,0.36,18380,3978,6,55.76,-0.03,5.3,234,SuperMiniCar,New York
1982-01-31,1982,Jan,1,106.92,0.37,73385,2142,6,55.76,-0.03,5.3,82,Sports,New York
1982-01-31,1982,Jan,1,106.92,0.49,25913,3978,6,55.76,-0.03,5.3,236,SmallFamilyCar,New York
1982-01-31,1982,Jan,1,106.92,0.36,59087,2142,6,55.76,-0.03,5.3,76,ExecutiveCar,New York
1982-01-31,1982,Jan,1,106.92,0.39,32551,3978,6,55.76,-0.03,5.3,222,MediumFamilyCar,New York
1982-02-28,1982,Feb,1,112.86,0.34,56303,1534,7,23.62,-1.36,4.2,114,ExecutiveCar,Illinois
1982-02-28,1982,Feb,1,112.86,0.38,35560,2848,7,23.62,-1.36,4.2,298,MediumFamilyCar,Illinois
1982-02-28,1982,Feb,1,112.86,0.44,76396,1534,7,23.62,-1.36,4.2,104,Sports,Illinois
1982-02-28,1982,Feb,1,112.86,0.39,15519,2848,7,23.62,-1.36,4.2,302,SuperMiniCar,Illinois
1982-02-28,1982,Feb,1,112.86,0.43,27124,2848,7,23.62,-1.36,4.2,300,SmallFamilyCar,Illinois
1982-03-31,1982,Mar,1,108.05,0.83,23157,6127,6,53.83,0.56,5.0,1221,SmallFamilyCar,New York
1982-03-31,1982,Mar,1,108.05,0.91,34289,6127,6,53.83,0.56,5.0,1262,MediumFamilyCar,New York
1982-03-31,1982,Mar,1,108.05,0.95,50851,3299,6,53.83,0.56,5.0,765,ExecutiveCar,New York
1982-03-31,1982,Mar,1,108.05,0.8,15590,6127,6,53.83,0.56,5.0,1264,SuperMiniCar,New York
1982-03-31,1982,Mar,1,108.05,0.79,78666,3299,6,53.83,0.56,5.0,767,Sports,New York
1982-04-30,1982,Apr,1,109.3,1.0,51687,1833,4,36.95,-0.46,3.2,217,ExecutiveCar,California
1982-04-30,1982,Apr,1,109.3,1.0,30846,3405,4,36.95,-0.46,3.2,605,MediumFamilyCar,California
1982-04-30,1982,Apr,1,109.3,1.0,79274,1833,4,36.95,-0.46,3.2,208,Sports,California
1982-05-31,1982,May,1,100.4,0.2,16050,1716,6,38.16,0.03,4.0,766,SuperMiniCar,Illinois
1982-05-31,1982,May,1,100.4,0.2,24345,1716,6,38.16,0.03,4.0,755,SmallFamilyCar,Illinois
1982-05-31,1982,May,1,100.4,0.2,36316,1716,6,38.16,0.03,4.0,793,MediumFamilyCar,Illinois
1982-05-31,1982,May,1,100.4,0.2,56833,924,6,38.16,0.03,4.0,277,ExecutiveCar,Illinois
1982-06-30,1982,Jun,1,100.11,0.87,20390,3045,9,21.04,-0.81,3.8,1211,SmallFamilyCar,New York
1982-06-30,1982,Jun,1,100.11,0.95,52427,1639,9,21.04,-0.81,3.8,748,ExecutiveCar,New York
1982-06-30,1982,Jun,1,100.11,0.96,36469,3045,9,21.04,-0.81,3.8,1248,MediumFamilyCar,New York
1982-06-30,1982,Jun,1,100.11,0.92,18633,3045,9,21.04,-0.81,3.8,1192,SuperMiniCar,New York
1982-07-31,1982,Jul,1,102.67,0.5,59760,1845,3,18.45,-0.14,3.2,282,ExecutiveCar,Illinois
1982-07-31,1982,Jul,1,102.67,0.5,39333,3427,3,18.45,-0.14,3.2,736,MediumFamilyCar,Illinois
1982-07-31,1982,Jul,1,102.67,0.5,23853,3427,3,18.45,-0.14,3.2,715,SmallFamilyCar,Illinois
1982-07-31,1982,Jul,1,102.67,0.5,19444,3427,3,18.45,-0.14,3.2,734,SuperMiniCar,Illinois
1982-08-31,1982,Aug,1,107.34,0.25,24430,4389,4,50.17,0.63,4.6,534,SmallFamilyCar,California
1982-08-31,1982,Aug,1,107.34,0.25,72558,2363,4,50.17,0.63,4.6,208,Sports,California
1982-08-31,1982,Aug,1,107.34,0.25,54000,2363,4,50.17,0.63,4.6,206,ExecutiveCar,California
1982-08-31,1982,Aug,1,107.34,0.25,38915,4389,4,50.17,0.63,4.6,554,MediumFamilyCar,California
1982-08-31,1982,Aug,1,107.34,0.25,15959,4389,4,50.17,0.63,4.6,580,SuperMiniCar,California
1982-09-30,1982,Sep,1,97.17,0.91,77849,2682,8,38.83,-0.29,2.8,789,Sports,Georgia
1982-09-30,1982,Sep,1,97.17,0.79,55052,2682,8,38.83,-0.29,2.8,780,ExecutiveCar,Georgia
1982-09-30,1982,Sep,1,97.17,0.76,15692,4982,8,38.83,-0.29,2.8,1238,SuperMiniCar,Georgia
1982-09-30,1982,Sep,1,97.17,0.97,30224,4982,8,38.83,-0.29,2.8,1262,MediumFamilyCar,Georgia
1982-10-31,1982,Oct,1,101.22,0.6952925065759794,20628,4971,4,35.91,-0.08,4.1,736,SmallFamilyCar,New York
1982-10-31,1982,Oct,1,101.22,0.6695610335838725,18899,4971,4,35.91,-0.08,4.1,711,SuperMiniCar,New York
1982-10-31,1982,Oct,1,101.22,0.6897278250217114,52738,2677,4,35.91,-0.08,4.1,258,ExecutiveCar,New York
1982-10-31,1982,Oct,1,101.22,0.6858953415771181,72047,2677,4,35.91,-0.08,4.1,267,Sports,New York
1982-10-31,1982,Oct,1,101.22,0.6573215145263906,34208,4971,4,35.91,-0.08,4.1,703,MediumFamilyCar,New York
1982-11-30,1982,Nov,1,96.9,0.8428957237650483,19473,3892,7,50.25,0.29,5.4,116,SuperMiniCar,Georgia
1982-11-30,1982,Nov,1,96.9,0.8163720462760867,27686,3892,7,50.25,0.29,5.4,100,SmallFamilyCar,Georgia
1982-11-30,1982,Nov,1,96.9,0.8263484179644655,55732,2096,7,50.25,0.29,5.4,40,ExecutiveCar,Georgia
1982-12-31,1982,Dec,1,101.16,1.35,36283,5145,5,52.01,0.03,3.6,1260,MediumFamilyCar,Georgia
1982-12-31,1982,Dec,1,101.16,1.45,17946,5145,5,52.01,0.03,3.6,1232,SuperMiniCar,Georgia
1982-12-31,1982,Dec,1,101.16,1.33,55387,2771,5,52.01,0.03,3.6,758,ExecutiveCar,Georgia
1982-12-31,1982,Dec,1,101.16,1.13,24232,5145,5,52.01,0.03,3.6,1247,SmallFamilyCar,Georgia
1983-01-31,1983,Jan,0,87.49,0.45,32048,2943,8,22.29,-1.33,3.2,288,MediumFamilyCar,Illinois
1983-01-31,1983,Jan,0,87.49,0.37,58002,2943,8,22.29,-1.33,3.2,308,ExecutiveCar,Illinois
1983-01-31,1983,Jan,0,87.49,0.42,15526,2943,8,22.29,-1.33,3.2,309,SuperMiniCar,Illinois
1983-02-28,1983,Feb,0,126.06,0.44,18224,4621,4,12.82,-1.12,2.4,1874,SuperMiniCar,Georgia
1983-02-28,1983,Feb,0,126.06,0.37,36233,4621,4,12.82,-1.12,2.4,1922,MediumFamilyCar,Georgia
1983-02-28,1983,Feb,0,126.06,0.45,72747,4621,4,12.82,-1.12,2.4,1886,Sports,Georgia
1983-02-28,1983,Feb,0,126.06,0.39,55536,4621,4,12.82,-1.12,2.4,1893,ExecutiveCar,Georgia
1983-02-28,1983,Feb,0,126.06,0.44,22930,4621,4,12.82,-1.12,2.4,1884,SmallFamilyCar,Georgia
1983-03-31,1983,Mar,0,92.67,0.96,17253,3038,8,12.94,0.01,1.5,6128,SuperMiniCar,California
1983-03-31,1983,Mar,0,92.67,0.97,79167,3038,8,12.94,0.01,1.5,6149,Sports,California
1983-03-31,1983,Mar,0,92.67,0.83,26831,3038,8,12.94,0.01,1.5,6165,SmallFamilyCar,California
1983-04-30,1983,Apr,0,96.39,1.0,53913,4490,8,25.21,0.49,2.0,3203,ExecutiveCar,Illinois
1983-04-30,1983,Apr,0,96.39,1.0,79998,4490,8,25.21,0.49,2.0,3192,Sports,Illinois
1983-04-30,1983,Apr,0,96.39,1.0,39765,4490,8,25.21,0.49,2.0,3260,MediumFamilyCar,Illinois
1983-04-30,1983,Apr,0,96.39,1.0,21521,4490,8,25.21,0.49,2.0,3224,SmallFamilyCar,Illinois
1983-04-30,1983,Apr,0,96.39,1.0,18344,4490,8,25.21,0.49,2.0,3216,SuperMiniCar,Illinois
1983-05-31,1983,May,0,91.81,1.5,18965,4677,8,14.63,-0.72,2.3,915,SuperMiniCar,California
1983-05-31,1983,May,0,91.81,1.5,70189,4677,8,14.63,-0.72,2.3,928,Sports,California
1983-05-31,1983,May,0,91.81,1.5,51066,4677,8,14.63,-0.72,2.3,885,ExecutiveCar,California
1983-05-31,1983,May,0,91.81,1.5,31828,4677,8,14.63,-0.72,2.3,878,MediumFamilyCar,California
1983-06-30,1983,Jun,0,106.16,0.83,72734,2118,5,18.76,0.22,2.3,7314,Sports,Illinois
1983-06-30,1983,Jun,0,106.16,0.88,31917,2118,5,18.76,0.22,2.3,7383,MediumFamilyCar,Illinois
1983-06-30,1983,Jun,0,106.16,0.76,57723,2118,5,18.76,0.22,2.3,7398,ExecutiveCar,Illinois
1983-06-30,1983,Jun,0,106.16,0.82,16875,2118,5,18.76,0.22,2.3,7396,SuperMiniCar,Illinois
1983-06-30,1983,Jun,0,106.16,0.78,20826,2118,5,18.76,0.22,2.3,7381,SmallFamilyCar,Illinois
1983-07-31,1983,Jul,0,98.04,0.5,16763,4888,9,32.15,0.42,3.0,475,SuperMiniCar,Georgia
1983-07-31,1983,Jul,0,98.04,0.5,54380,4888,9,32.15,0.42,3.0,475,ExecutiveCar,Georgia
1983-07-31,1983,Jul,0,98.04,0.5,34234,4888,9,32.15,0.42,3.0,421,MediumFamilyCar,Georgia
1983-07-31,1983,Jul,0,98.04,0.5,24822,4888,9,32.15,0.42,3.0,451,SmallFamilyCar,Georgia
1983-07-31,1983,Jul,0,98.04,0.5,73005,4888,9,32.15,0.42,3.0,377,Sports,Georgia
1983-08-31,1983,Aug,0,90.36,0.25,36988,2604,6,59.05,0.46,2.4,4164,MediumFamilyCar,California
1983-08-31,1983,Aug,0,90.36,0.25,21500,2604,6,59.05,0.46,2.4,4158,SmallFamilyCar,California
1983-08-31,1983,Aug,0,90.36,0.25,74658,2604,6,59.05,0.46,2.4,4117,Sports,California
1983-08-31,1983,Aug,0,90.36,0.25,54107,2604,6,59.05,0.46,2.4,4169,ExecutiveCar,California
1983-08-31,1983,Aug,0,90.36,0.25,15520,2604,6,59.05,0.46,2.4,4114,SuperMiniCar,California
1983-09-30,1983,Sep,0,106.57,0.85,71899,3365,8,45.68,-0.29,1.7,6764,Sports,New York
1983-09-30,1983,Sep,0,106.57,0.86,32026,3365,8,45.68,-0.29,1.7,6812,MediumFamilyCar,New York
1983-09-30,1983,Sep,0,106.57,0.99,55726,3365,8,45.68,-0.29,1.7,6784,ExecutiveCar,New York
1983-09-30,1983,Sep,0,106.57,0.84,26737,3365,8,45.68,-0.29,1.7,6756,SmallFamilyCar,New York
1983-10-31,1983,Oct,0,107.92,0.6779500296632468,53373,1235,3,42.24,-0.08,1.1,4692,ExecutiveCar,Illinois
1983-10-31,1983,Oct,0,107.92,0.638519679182255,33744,1235,3,42.24,-0.08,1.1,4674,MediumFamilyCar,Illinois
1983-10-31,1983,Oct,0,107.92,0.695089431433581,77734,1235,3,42.24,-0.08,1.1,4712,Sports,Illinois
1983-10-31,1983,Oct,0,107.92,0.6646361386524972,16016,1235,3,42.24,-0.08,1.1,4679,SuperMiniCar,Illinois
1983-11-30,1983,Nov,0,99.33,0.8212444596494075,39093,2969,9,29.52,-0.43,1.3,2986,MediumFamilyCar,California
1983-11-30,1983,Nov,0,99.33,0.8778127054071372,58945,2969,9,29.52,-0.43,1.3,2972,ExecutiveCar,California
1983-11-30,1983,Nov,0,99.33,0.8458619580219181,15116,2969,9,29.52,-0.43,1.3,3001,SuperMiniCar,California
1983-12-31,1983,Dec,0,93.36,1.49,23294,1333,7,66.54,0.56,3.0,3993,SmallFamilyCar,Illinois
1983-12-31,1983,Dec,0,93.36,1.3,71267,1333,7,66.54,0.56,3.0,4042,Sports,Illinois
1983-12-31,1983,Dec,0,93.36,1.26,17433,1333,7,66.54,0.56,3.0,3996,SuperMiniCar,Illinois
1984-01-31,1984,Jan,0,121.91,0.38,15583,2908,5,35.53,-0.87,1.2,1660,SuperMiniCar,New York
1984-01-31,1984,Jan,0,121.91,0.42,25085,2908,5,35.53,-0.87,1.2,1630,SmallFamilyCar,New York
1984-01-31,1984,Jan,0,121.91,0.46,71528,2908,5,35.53,-0.87,1.2,1634,Sports,New York
1984-01-31,1984,Jan,0,121.91,0.49,52082,2908,5,35.53,-0.87,1.2,1636,ExecutiveCar,New York
1984-02-29,1984,Feb,0,103.4,0.4,15394,1375,4,17.55,-1.02,1.4,1944,SuperMiniCar,New York
1984-02-29,1984,Feb,0,103.4,0.42,30009,1375,4,17.55,-1.02,1.4,1921,MediumFamilyCar,New York
1984-02-29,1984,Feb,0,103.4,0.37,22419,1375,4,17.55,-1.02,1.4,1938,SmallFamilyCar,New York
1984-03-31,1984,Mar,0,87.26,0.93,18788,4530,5,48.29,0.64,1.4,6920,SuperMiniCar,Georgia
1984-03-31,1984,Mar,0,87.26,0.98,20934,4530,5,48.29,0.64,1.4,6959,SmallFamilyCar,Georgia
1984-03-31,1984,Mar,0,87.26,1.0,73556,4530,5,48.29,0.64,1.4,6883,Sports,Georgia
1984-03-31,1984,Mar,0,87.26,0.95,58967,4530,5,48.29,0.64,1.4,6910,ExecutiveCar,Georgia
1984-03-31,1984,Mar,0,87.26,0.82,30260,4530,5,48.29,0.64,1.4,6880,MediumFamilyCar,Georgia
1984-04-30,1984,Apr,0,114.14,1.0,23042,2160,4,19.1,-1.53,2.1,2538,SmallFamilyCar,Illinois
1984-04-30,1984,Apr,0,114.14,1.0,17768,2160,4,19.1,-1.53,2.1,2482,SuperMiniCar,Illinois
1984-04-30,1984,Apr,0,114.14,1.0,36038,2160,4,19.1,-1.53,2.1,2469,MediumFamilyCar,Illinois
1984-04-30,1984,Apr,0,114.14,1.0,73890,2160,4,19.1,-1.53,2.1,2516,Sports,Illinois
1984-05-31,1984,May,0,91.44,1.5,24497,3635,5,32.52,0.41,2.2,897,SmallFamilyCar,Georgia
1984-05-31,1984,May,0,91.44,1.5,39865,3635,5,32.52,0.41,2.2,814,MediumFamilyCar,Georgia
1984-05-31,1984,May,0,91.44,1.5,56748,3635,5,32.52,0.41,2.2,902,ExecutiveCar,Georgia
1984-06-30,1984,Jun,0,127.42,0.83,19167,2570,4,41.93,0.22,2.4,5278,SuperMiniCar,New York
1984-06-30,1984,Jun,0,127.42,1.0,59817,2570,4,41.93,0.22,2.4,5256,ExecutiveCar,New York
1984-06-30,1984,Jun,0,127.42,0.86,78838,2570,4,41.93,0.22,2.4,5330,Sports,New York
1984-06-30,1984,Jun,0,127.42,0.85,32219,2570,4,41.93,0.22,2.4,5316,MediumFamilyCar,New York
1984-06-30,1984,Jun,0,127.42,0.88,21466,2570,4,41.93,0.22,2.4,5288,SmallFamilyCar,New York
1984-07-31,1984,Jul,0,100.8,0.5,37041,3560,8,63.2,0.34,2.9,4584,MediumFamilyCar,New York
1984-07-31,1984,Jul,0,100.8,0.5,18860,3560,8,63.2,0.34,2.9,4595,SuperMiniCar,New York
1984-07-31,1984,Jul,0,100.8,0.5,50417,3560,8,63.2,0.34,2.9,4593,ExecutiveCar,New York
1984-07-31,1984,Jul,0,100.8,0.5,75393,3560,8,63.2,0.34,2.9,4626,Sports,New York
1984-07-31,1984,Jul,0,100.8,0.5,23561,3560,8,63.2,0.34,2.9,4619,SmallFamilyCar,New York
1984-08-31,1984,Aug,0,110.13,0.25,58306,2319,6,41.13,-0.54,2.5,3183,ExecutiveCar,California
1984-08-31,1984,Aug,0,110.13,0.25,15273,2319,6,41.13,-0.54,2.5,3163,SuperMiniCar,California
1984-08-31,1984,Aug,0,110.13,0.25,20614,2319,6,41.13,-0.54,2.5,3184,SmallFamilyCar,California
1984-09-30,1984,Sep,0,79.2,0.92,17013,4391,4,53.23,0.23,2.5,6070,SuperMiniCar,New York
1984-09-30,1984,Sep,0,79.2,0.76,78792,4391,4,53.23,0.23,2.5,6073,Sports,New York
1984-09-30,1984,Sep,0,79.2,0.97,58808,4391,4,53.23,0.23,2.5,6075,ExecutiveCar,New York
1984-10-31,1984,Oct,0,87.16,0.6782397807116322,53974,3965,4,70.08,0.24,2.0,1701,ExecutiveCar,Georgia
1984-10-31,1984,Oct,0,87.16,0.6086573248593842,19433,3965,4,70.08,0.24,2.0,1720,SuperMiniCar,Georgia
1984-10-31,1984,Oct,0,87.16,0.6365913022137486,25392,3965,4,70.08,0.24,2.0,1782,SmallFamilyCar,Georgia
1984-10-31,1984,Oct,0,87.16,0.6523893088755562,32060,3965,4,70.08,0.24,2.0,1732,MediumFamilyCar,Georgia
1984-11-30,1984,Nov,0,113.34,0.8418778887864519,27693,4643,3,20.13,-2.48,1.5,2167,SmallFamilyCar,New York
1984-11-30,1984,Nov,0,113.34,0.8991497813723427,53267,4643,3,20.13,-2.48,1.5,2227,ExecutiveCar,New York
1984-11-30,1984,Nov,0,113.34,0.8752797747763333,16389,4643,3,20.13,-2.48,1.5,2154,SuperMiniCar,New York
1984-11-30,1984,Nov,0,113.34,0.8716877131832557,35287,4643,3,20.13,-2.48,1.5,2181,MediumFamilyCar,New York
1984-12-31,1984,Dec,0,103.18,1.22,21182,2855,4,28.43,0.29,2.1,7608,SmallFamilyCar,Illinois
